area1 1DIP																	
10																	
11																	
3																	
"Type of measurement (0=app.resistivity,1=resistance)"																	
1																	
509																	
2																	
11																	
Chargeability																	
mV/V																	
2 0.01 0.02 0.02 0.80 0.50									resist	ip		a	b	m 	n		
4	330	0	320	0	260	0	270	0	0.588577	5.76779	0	34	33	27	28		
4	340	0	330	0	250	0	260	0	0.0588622	5.62068	0	35	34	26	27		
4	320	0	310	0	280	0	290	0	-3.717	3.81723	0	33	32	29	30		
4	380	0	340	0	220	0	260	0	0.24993	19.7167	0	39	35	23	27		
4	400	0	380	0	200	0	220	0	0.00773541	14.4428	0	41	39	21	23		
4	330	0	320	0	270	0	280	0	2.05247	5.02617	0	34	33	28	29		
4	340	0	320	0	260	0	280	0	3.14402	5.78605	0	35	33	27	29		
4	340	0	330	0	260	0	270	0	0.128405	3.3351	0	35	34	27	28		
4	350	0	340	0	250	0	260	0	0.0347127	12.0261	0	36	35	26	27		
4	320	0	310	0	290	0	300	0	-724.528	6.37246	0	33	32	30	31		
4	330	0	320	0	280	0	290	0	8.29766	3.85431	0	34	33	29	30		
4	340	0	330	0	270	0	280	0	0.241746	5.25048	0	35	34	28	29		
4	350	0	340	0	260	0	270	0	0.0600709	9.32415	0	36	35	27	28		
4	360	0	340	0	260	0	280	0	0.254945	9.75394	0	37	35	27	29		
4	360	0	350	0	260	0	270	0	0.0354837	17.2738	0	37	36	27	28		
4	330	0	320	0	290	0	300	0	737.805	7.01734	0	34	33	30	31		
4	340	0	320	0	280	0	300	0	755.254	5.73944	0	35	33	29	31		
4	340	0	330	0	280	0	290	0	0.345505	3.75683	0	35	34	29	30		
4	350	0	340	0	270	0	280	0	0.103223	6.89128	0	36	35	28	29		
4	400	0	340	0	220	0	280	0	0.639913	15.2202	0	41	35	23	29		
4	340	0	330	0	290	0	300	0	2.01709	9.16323	0	35	34	30	31		
4	350	0	340	0	280	0	290	0	0.104156	3.84046	0	36	35	29	30		
4	360	0	350	0	270	0	280	0	0.0554098	13.8563	0	37	36	28	29		
4	330	0	320	0	300	0	310	0	-725.989	7.05283	0	34	33	31	32		
4	350	0	340	0	290	0	300	0	0.391121	7.11339	0	36	35	30	31		
4	440	0	360	0	200	0	280	0	0.2841	26.5458	0	45	37	21	29		
4	340	0	330	0	300	0	310	0	-0.772642	15.9313	0	35	34	31	32		
4	360	0	340	0	280	0	300	0	0.690742	7.12192	0	37	35	29	31		
4	420	0	380	0	220	0	260	0	0.0431426	37.6588	0	43	39	23	27		
4	360	0	350	0	280	0	290	0	0.0497201	11.9604	0	37	36	29	30		
4	370	0	360	0	270	0	280	0	0.0286486	22.3163	0	38	37	28	29		
4	380	0	340	0	260	0	300	0	1.17387	8.3845	0	39	35	27	31		
4	440	0	380	0	200	0	260	0	0.0691653	40.5863	0	45	39	21	27		
4	360	0	350	0	290	0	300	0	0.146715	18.8932	0	37	36	30	31		
4	340	0	330	0	310	0	320	0	0.794191	13.8259	0	35	34	32	33		
4	350	0	340	0	300	0	310	0	-0.0641603	8.86561	0	36	35	31	32		
4	370	0	360	0	280	0	290	0	0.0225626	14.4025	0	38	37	29	30		
4	400	0	380	0	260	0	280	0	0.0306889	1.25958	0	41	39	27	29		
4	370	0	360	0	290	0	300	0	0.0769612	21.9419	0	38	37	30	31		
4	350	0	340	0	310	0	320	0	0.0669295	12.0075	0	36	35	32	33		
4	360	0	340	0	300	0	320	0	0.00431266	-21.5918	0	37	35	31	33		
4	360	0	350	0	300	0	310	0	-0.0162401	44.9387	0	37	36	31	32		
4	360	0	350	0	310	0	320	0	0.0174447	34.8791	0	37	36	32	33		
4	370	0	360	0	300	0	310	0	-0.00923072	17.3805	0	38	37	31	32		
4	350	0	340	0	320	0	330	0	1.83541	5.06101	0	36	35	33	34		
4	460	0	420	0	220	0	260	0	0.0222529	26.4589	0	47	43	23	27		
4	360	0	350	0	320	0	330	0	0.461864	13.8079	0	37	36	33	34		
4	370	0	360	0	310	0	320	0	0.00966398	30.4849	0	38	37	32	33		
4	460	0	400	0	220	0	280	0	0.0568971	37.39	0	47	41	23	29		
4	420	0	380	0	260	0	300	0	0.104816	14.9966	0	43	39	27	31		
4	420	0	400	0	260	0	280	0	0.0102924	56.6729	0	43	41	27	29		
4	400	0	360	0	280	0	320	0	0.198572	16.2016	0	41	37	29	33		
4	400	0	380	0	280	0	300	0	0.0489507	6.67331	0	41	39	29	31		
4	360	0	350	0	330	0	340	0	2.1786	15.4575	0	37	36	34	35		
4	370	0	360	0	320	0	330	0	0.233845	17.6401	0	38	37	33	34		
4	440	0	420	0	260	0	280	0	0.00586418	14.4153	0	45	43	27	29		
4	440	0	380	0	260	0	320	0	0.119601	14.3347	0	45	39	27	33		
4	500	0	440	0	200	0	260	0	0.0501263	30.1251	0	51	45	21	27		
4	500	0	400	0	200	0	300	0	0.16679	28.1506	0	51	41	21	31		
4	400	0	380	0	300	0	320	0	0.000384312	-1541.58	0	41	39	31	33		
4	400	0	390	0	300	0	310	0	0.000166689	-2899.42	0	41	40	31	32		
4	370	0	360	0	330	0	340	0	0.825841	18.8991	0	38	37	34	35		
4	420	0	400	0	280	0	300	0	0.0150098	26.1827	0	43	41	29	31		
4	400	0	390	0	310	0	320	0	0.000588441	153.304	0	41	40	32	33		
4	370	0	360	0	340	0	350	0	5.11327	16.1909	0	38	37	35	36		
4	420	0	380	0	300	0	340	0	0.216711	23.6991	0	43	39	31	35		
4	440	0	420	0	280	0	300	0	0.00853823	16.1374	0	45	43	29	31		
4	410	0	400	0	310	0	320	0	-0.000286693	-944.427	0	42	41	32	33		
4	420	0	400	0	300	0	320	0	-6.48E-05	-4361.73	0	43	41	31	33		
4	520	0	440	0	200	0	280	0	0.0774702	29.2546	0	53	45	21	29		
4	440	0	400	0	280	0	320	0	0.0235334	25.1299	0	45	41	29	33		
4	460	0	420	0	260	0	300	0	0.0289703	23.8129	0	47	43	27	31		
4	500	0	460	0	220	0	260	0	0.0246788	26.9149	0	51	47	23	27		
4	400	0	380	0	320	0	340	0	0.17905	20.6253	0	41	39	33	35		
4	460	0	440	0	260	0	280	0	0.00616389	41.8411	0	47	45	27	29		
4	400	0	390	0	320	0	330	0	0.0181283	-7.99313	0	41	40	33	34		
4	410	0	400	0	320	0	330	0	0.00594505	28.5753	0	42	41	33	34		
4	400	0	390	0	330	0	340	0	0.0262831	37.4283	0	41	40	34	35		
4	440	0	420	0	300	0	320	0	6.11E-05	-1040.82	0	45	43	31	33		
4	400	0	380	0	340	0	360	0	3.44816	17.8869	0	41	39	35	37		
4	400	0	390	0	340	0	350	0	0.10404	16.209	0	41	40	35	36		
4	460	0	400	0	280	0	340	0	0.131098	26.285	0	47	41	29	35		
4	520	0	460	0	220	0	280	0	0.0447764	26.9751	0	53	47	23	29		
4	520	0	420	0	220	0	320	0	0.115399	26.7661	0	53	43	23	33		
4	410	0	400	0	330	0	340	0	0.00917789	69.2416	0	42	41	34	35		
4	420	0	400	0	320	0	340	0	0.0381084	37.8305	0	43	41	33	35		
4	420	0	410	0	320	0	330	0	0.0083876	35.1114	0	43	42	33	34		
4	460	0	440	0	280	0	300	0	0.00832983	29.2018	0	47	45	29	31		
4	400	0	390	0	350	0	360	0	0.665419	22.5665	0	41	40	36	37		
4	410	0	400	0	340	0	350	0	0.0382043	23.2736	0	42	41	35	36		
4	420	0	410	0	330	0	340	0	0.0137934	32.0835	0	43	42	34	35		
4	500	0	460	0	260	0	300	0	0.0316762	26.3624	0	51	47	27	31		
4	540	0	500	0	220	0	260	0	0.00488665	42.1193	0	55	51	23	27		
4	440	0	400	0	320	0	360	0	0.707583	20.2427	0	45	41	33	37		
4	500	0	420	0	260	0	340	0	0.157612	26.4706	0	51	43	27	35		
4	440	0	420	0	320	0	340	0	0.0325106	23.0943	0	45	43	33	35		
4	460	0	440	0	300	0	320	0	3.36E-05	1931.51	0	47	45	31	33		
4	500	0	440	0	260	0	320	0	0.0463884	26.6702	0	51	45	27	33		
4	400	0	390	0	360	0	370	0	6.08554	15.6196	0	41	40	37	38		
4	560	0	500	0	200	0	260	0	0.0086058	40.0927	0	57	51	21	27		
4	480	0	440	0	280	0	320	0	0.0166586	31.4767	0	49	45	29	33		
4	460	0	420	0	300	0	340	0	0.0608765	25.9155	0	47	43	31	35		
4	480	0	460	0	280	0	300	0	0.00823158	24.3051	0	49	47	29	31		
4	540	0	460	0	220	0	300	0	0.0682047	28.5372	0	55	47	23	31		
4	410	0	400	0	350	0	360	0	0.226488	19.7633	0	42	41	36	37		
4	420	0	400	0	340	0	360	0	0.474498	19.0067	0	43	41	35	37		
4	420	0	410	0	340	0	350	0	0.0367122	22.8178	0	43	42	35	36		
4	420	0	410	0	350	0	360	0	0.171679	18.038	0	43	42	36	37		
4	400	0	390	0	370	0	380	0	25.5059	14.3915	0	41	40	38	39		
4	410	0	400	0	360	0	370	0	1.69792	12.0334	0	42	41	37	38		
4	480	0	460	0	300	0	320	0	2.16E-05	-1778.12	0	49	47	31	33		
4	410	0	400	0	370	0	380	0	5.43226	11.918	0	42	41	38	39		
4	420	0	410	0	360	0	370	0	0.794393	9.07471	0	43	42	37	38		
4	480	0	420	0	300	0	360	0	0.405148	25.7866	0	49	43	31	37		
4	420	0	400	0	360	0	380	0	9.74355	11.08	0	43	41	37	39		
4	440	0	420	0	340	0	360	0	0.161316	20.8973	0	45	43	35	37		
4	460	0	440	0	320	0	340	0	0.0283414	30.0155	0	47	45	33	35		
4	410	0	400	0	380	0	390	0	23.6382	11.4434	0	42	41	39	40		
4	420	0	410	0	370	0	380	0	1.82899	8.85226	0	43	42	38	39		
4	500	0	480	0	300	0	320	0	1.95E-05	-361.906	0	51	49	31	33		
4	440	0	420	0	360	0	380	0	1.20115	9.35095	0	45	43	37	39		
4	600	0	520	0	200	0	280	0	0.012287	43.4031	0	61	53	21	29		
4	450	0	440	0	350	0	360	0	0.0309459	24.8608	0	46	45	36	37		
4	600	0	500	0	200	0	300	0	0.0250259	36.5226	0	61	51	21	31		
4	520	0	480	0	280	0	320	0	0.0107098	28.2839	0	53	49	29	33		
4	500	0	460	0	300	0	340	0	0.0361908	28.6414	0	51	47	31	35		
4	580	0	520	0	220	0	280	0	0.00865098	47.18	0	59	53	23	29		
4	580	0	540	0	220	0	260	0	0.00313732	56.8572	0	59	55	23	27		
4	460	0	420	0	340	0	380	0	1.8801	12.0843	0	47	43	35	39		
4	520	0	440	0	280	0	360	0	0.322886	30.5054	0	53	45	29	37		
4	460	0	440	0	340	0	360	0	0.0976817	28.4122	0	47	45	35	37		
4	480	0	460	0	320	0	340	0	0.0182452	28.3474	0	49	47	33	35		
4	520	0	460	0	280	0	340	0	0.0571668	28.8491	0	53	47	29	35		
4	420	0	410	0	380	0	390	0	4.66504	9.48308	0	43	42	39	40		
4	540	0	500	0	260	0	300	0	0.00694567	35.7203	0	55	51	27	31		
4	480	0	440	0	320	0	360	0	0.211455	29.4442	0	49	45	33	37		
4	450	0	440	0	360	0	370	0	0.0787878	12.8671	0	46	45	37	38		
4	420	0	410	0	390	0	400	0	15.2212	6.34127	0	43	42	40	41		
4	440	0	420	0	380	0	400	0	4.54827	7.73587	0	45	43	39	41		
4	500	0	480	0	320	0	340	0	0.0178528	31.1368	0	51	49	33	35		
4	560	0	500	0	260	0	320	0	0.00932614	35.7356	0	57	51	27	33		
4	450	0	440	0	370	0	380	0	0.114783	9.7338	0	46	45	38	39		
4	460	0	450	0	360	0	370	0	0.0928495	20.3252	0	47	46	37	38		
4	620	0	560	0	200	0	260	0	0.00381487	75.0597	0	63	57	21	27		
4	500	0	440	0	320	0	380	0	1.16391	20.8486	0	51	45	33	39		
4	560	0	460	0	260	0	360	0	0.219158	32.8375	0	57	47	27	37		
4	460	0	440	0	360	0	380	0	0.419553	13.7855	0	47	45	37	39		
4	480	0	460	0	340	0	360	0	0.0671466	32.2488	0	49	47	35	37		
4	450	0	440	0	380	0	390	0	0.166715	9.42795	0	46	45	39	40		
4	460	0	450	0	370	0	380	0	0.132546	15.6675	0	47	46	38	39		
4	500	0	460	0	340	0	380	0	0.582292	24.0686	0	51	47	35	39		
4	460	0	440	0	380	0	400	0	0.869513	10.4747	0	47	45	39	41		
4	620	0	540	0	220	0	300	0	0.0119849	47.4189	0	63	55	23	31		
4	520	0	480	0	320	0	360	0	0.0839166	35.5114	0	53	49	33	37		
4	580	0	500	0	260	0	340	0	0.0139498	36.3614	0	59	51	27	35		
4	520	0	500	0	320	0	340	0	0.00194951	41.3089	0	53	51	33	35		
4	460	0	450	0	380	0	390	0	0.184235	14.1112	0	47	46	39	40		
4	470	0	460	0	370	0	380	0	0.0945857	16.8277	0	48	47	38	39		
4	480	0	460	0	360	0	380	0	0.28729	19.0918	0	49	47	37	39		
4	480	0	440	0	360	0	400	0	2.12414	13.5065	0	49	45	37	41		
4	540	0	480	0	300	0	360	0	0.0880237	35.8532	0	55	49	31	37		
4	540	0	500	0	300	0	340	0	0.00176129	37.6299	0	55	51	31	35		
4	450	0	440	0	390	0	400	0	0.257304	8.6531	0	46	45	40	41		
4	500	0	480	0	340	0	360	0	0.0539241	36.5046	0	51	49	35	37		
4	540	0	460	0	300	0	380	0	0.685164	24.9694	0	55	47	31	39		
4	560	0	520	0	280	0	320	0	0.00229379	68.6485	0	57	53	29	33		
4	580	0	540	0	260	0	300	0	0.00448534	44.2713	0	59	55	27	31		
4	620	0	580	0	220	0	260	0	0.00125716	136.126	0	63	59	23	27		
4	620	0	520	0	220	0	320	0	0.0163534	43.1139	0	63	53	23	33		
4	460	0	450	0	390	0	400	0	0.260356	12.7469	0	47	46	40	41		
4	450	0	440	0	400	0	410	0	0.282753	3.86568	0	46	45	41	42		
4	470	0	460	0	380	0	390	0	0.135869	14.7742	0	48	47	39	40		
4	500	0	480	0	360	0	380	0	0.173654	25.7862	0	51	49	37	39		
4	470	0	460	0	390	0	400	0	0.170495	13.2707	0	48	47	40	41		
4	450	0	440	0	410	0	420	0	1.08896	2.66699	0	46	45	42	43		
4	460	0	440	0	400	0	420	0	2.26558	4.48898	0	47	45	41	43		
4	460	0	450	0	400	0	410	0	0.253019	7.94974	0	47	46	41	42		
4	520	0	500	0	340	0	360	0	0.0101	39.1855	0	53	51	35	37		
4	520	0	460	0	340	0	400	0	1.51924	20.225	0	53	47	35	41		
4	580	0	520	0	280	0	340	0	0.00395902	29.8019	0	59	53	29	35		
4	480	0	470	0	380	0	390	0	0.108335	18.0141	0	49	48	39	40		
4	640	0	580	0	220	0	280	0	0.00444973	51.5059	0	65	59	23	29		
4	580	0	480	0	280	0	380	0	0.352064	29.4611	0	59	49	29	39		
4	480	0	460	0	380	0	400	0	0.54732	15.0385	0	49	47	39	41		
4	450	0	440	0	420	0	430	0	7.59727	-15.4058	0	46	45	43	44		
4	460	0	450	0	410	0	420	0	0.642126	6.85969	0	47	46	42	43		
4	480	0	470	0	390	0	400	0	0.132317	15.5919	0	49	48	40	41		
4	470	0	460	0	400	0	410	0	0.146478	8.91939	0	48	47	41	42		
4	600	0	560	0	280	0	320	0	0.00152621	66.3204	0	61	57	29	33		
4	580	0	540	0	300	0	340	0	0.000629014	68.9616	0	59	55	31	35		
4	520	0	500	0	360	0	380	0	0.0354747	28.1436	0	53	51	37	39		
4	480	0	460	0	400	0	420	0	0.866663	9.68928	0	49	47	41	43		
4	480	0	470	0	400	0	410	0	0.111303	10.9273	0	49	48	41	42		
4	540	0	520	0	340	0	360	0	0.00420269	47.777	0	55	53	35	37		
4	620	0	560	0	260	0	320	0	0.00464428	61.5126	0	63	57	27	33		
4	620	0	580	0	260	0	300	0	0.00255702	74.9795	0	63	59	27	31		
4	500	0	460	0	380	0	420	0	2.10797	12.8474	0	51	47	39	43		
4	680	0	620	0	200	0	260	0	0.00262034	75.9955	0	69	63	21	27		
4	540	0	500	0	340	0	380	0	0.064898	31.1368	0	55	51	35	39		
4	500	0	480	0	380	0	400	0	0.286332	19.7969	0	51	49	39	41		
4	560	0	520	0	320	0	360	0	0.00871579	42.6933	0	57	53	33	37		
4	600	0	520	0	280	0	360	0	0.0186123	38.6433	0	61	53	29	37		
4	560	0	480	0	320	0	400	0	0.705482	24.9526	0	57	49	33	41		
4	680	0	600	0	200	0	280	0	0.00597198	59.0702	0	69	61	21	29		
4	460	0	450	0	420	0	430	0	2.24762	228.482	0	47	46	43	44		
4	470	0	460	0	410	0	420	0	0.352516	8.20592	0	48	47	42	43		
4	560	0	500	0	320	0	380	0	0.0815013	30.8091	0	57	51	33	39		
4	520	0	480	0	360	0	400	0	0.553119	22.8994	0	53	49	37	41		
4	460	0	450	0	430	0	440	0	10.255	-44.6042	0	47	46	44	45		
4	470	0	460	0	420	0	430	0	1.50731	-227.326	0	48	47	43	44		
4	480	0	470	0	410	0	420	0	0.257783	9.74214	0	49	48	42	43		
4	500	0	480	0	400	0	420	0	0.407003	12.933	0	51	49	41	43		
4	470	0	460	0	430	0	440	0	2.47236	149.328	0	48	47	44	45		
4	520	0	500	0	380	0	400	0	0.0574722	21.9435	0	53	51	39	41		
4	480	0	460	0	420	0	440	0	6.33537	6.98904	0	49	47	43	45		
4	480	0	470	0	420	0	430	0	1.54272	-473.126	0	49	48	43	44		
4	540	0	520	0	360	0	380	0	0.0148943	29.5438	0	55	53	37	39		
4	540	0	480	0	360	0	420	0	1.09137	18.7519	0	55	49	37	43		
4	700	0	600	0	200	0	300	0	0.0101043	50.0659	0	71	61	21	31		
4	600	0	540	0	300	0	360	0	0.0104163	46.2217	0	61	55	31	37		
4	600	0	500	0	300	0	400	0	0.199174	31.0923	0	61	51	31	41		
4	470	0	460	0	440	0	450	0	9.07228	4.10853	0	48	47	45	46		
4	480	0	470	0	430	0	440	0	0.814183	919.028	0	49	48	44	45		
4	700	0	640	0	220	0	280	0	0.00403482	56.8413	0	71	65	23	29		
4	540	0	500	0	380	0	420	0	0.174062	20.3047	0	55	51	39	43		
4	560	0	520	0	360	0	400	0	0.0596252	26.8792	0	57	53	37	41		
4	660	0	560	0	260	0	360	0	0.012382	65.8661	0	67	57	27	37		
4	600	0	560	0	320	0	360	0	0.00565933	54.6294	0	61	57	33	37		
4	620	0	580	0	300	0	340	0	-0.00219005	6.65216	0	63	59	31	35		
4	500	0	480	0	420	0	440	0	2.11793	10.8927	0	51	49	43	45		
4	560	0	540	0	360	0	380	0	0.0100376	39.1259	0	57	55	37	39		
4	510	0	500	0	410	0	420	0	0.032974	22.0264	0	52	51	42	43		
4	620	0	540	0	300	0	380	0	0.0323816	46.8787	0	63	55	31	39		
4	640	0	580	0	280	0	340	0	-0.00109392	-8.15751	0	65	59	29	35		
4	640	0	600	0	280	0	320	0	0.000911948	109.826	0	65	61	29	33		
4	520	0	480	0	400	0	440	0	2.93388	11.4641	0	53	49	41	45		
4	580	0	540	0	340	0	380	0	0.0248032	42.0298	0	59	55	35	39		
4	540	0	520	0	380	0	400	0	0.0223432	23.7697	0	55	53	39	41		
4	700	0	620	0	220	0	300	0	0.00783036	30.6721	0	71	63	23	31		
4	580	0	500	0	340	0	420	0	0.301884	25.7681	0	59	51	35	43		
4	520	0	500	0	400	0	420	0	0.0691114	19.3919	0	53	51	41	43		
4	660	0	580	0	260	0	340	0	0.00190185	115.665	0	67	59	27	35		
4	580	0	520	0	340	0	400	0	0.0852295	32.8881	0	59	53	35	41		
4	480	0	470	0	440	0	450	0	3.37736	6.23804	0	49	48	45	46		
4	510	0	500	0	420	0	430	0	-0.640802	-1719.19	0	52	51	43	44		
4	480	0	470	0	450	0	460	0	19.3238	7.69296	0	49	48	46	47		
4	620	0	520	0	320	0	420	0	0.147601	33.5656	0	63	53	33	43		
4	510	0	500	0	430	0	440	0	0.877976	-1252.37	0	52	51	44	45		
4	520	0	500	0	420	0	440	0	0.339963	10.5471	0	53	51	43	45		
4	520	0	510	0	420	0	430	0	0.384138	-5713.88	0	53	52	43	44		
4	560	0	540	0	380	0	400	0	0.011949	27.4623	0	57	55	39	41		
4	540	0	520	0	400	0	420	0	0.0254084	17.4094	0	55	53	41	43		
4	500	0	480	0	440	0	460	0	10.7404	10.7329	0	51	49	45	47		
4	680	0	620	0	260	0	320	0	0.00367658	31.4677	0	69	63	27	33		
4	560	0	500	0	380	0	440	0	0.700148	13.9909	0	57	51	39	45		
4	620	0	560	0	320	0	380	0	0.01714	55.4377	0	63	57	33	39		
4	510	0	500	0	440	0	450	0	0.246333	10.5512	0	52	51	45	46		
4	520	0	510	0	430	0	440	0	-0.281099	-7813.72	0	53	52	44	45		
4	540	0	520	0	420	0	440	0	0.113282	11.0542	0	55	53	43	45		
4	600	0	520	0	360	0	440	0	0.321346	20.2867	0	61	53	37	45		
4	560	0	540	0	400	0	420	0	0.0124952	24.6075	0	57	55	41	43		
4	600	0	540	0	360	0	420	0	0.063514	47.6375	0	61	55	37	43		
4	580	0	540	0	380	0	420	0	0.0378594	30.7178	0	59	55	39	43		
4	680	0	580	0	280	0	380	0	0.0203756	51.9927	0	69	59	29	39		
4	620	0	580	0	340	0	380	0	0.00854792	75.0992	0	63	59	35	39		
4	560	0	520	0	400	0	440	0	0.199207	14.5737	0	57	53	41	45		
4	580	0	560	0	380	0	400	0	0.00648075	51.3106	0	59	57	39	41		
4	680	0	600	0	280	0	360	0	0.0025852	94.2899	0	69	61	29	37		
4	640	0	560	0	320	0	400	0	0.0362644	46.4647	0	65	57	33	41		
4	510	0	500	0	450	0	460	0	0.746742	12.9045	0	52	51	46	47		
4	520	0	500	0	440	0	460	0	1.40172	11.2813	0	53	51	45	47		
4	520	0	510	0	440	0	450	0	0.103911	9.36304	0	53	52	45	46		
4	530	0	520	0	430	0	440	0	-0.0316851	-2819.56	0	54	53	44	45		
4	600	0	560	0	360	0	400	0	0.0195066	67.6494	0	61	57	37	41		
4	640	0	600	0	320	0	360	0	-0.00179534	-13.9469	0	65	61	33	37		
4	680	0	640	0	280	0	320	0	0.000951576	81.6923	0	69	65	29	33		
4	540	0	500	0	420	0	460	0	2.27667	11.1114	0	55	51	43	47		
4	510	0	500	0	460	0	470	0	1.17075	11.0986	0	52	51	47	48		
4	520	0	510	0	450	0	460	0	0.304896	11.6682	0	53	52	46	47		
4	530	0	520	0	440	0	450	0	0.0579021	9.41436	0	54	53	45	46		
4	580	0	520	0	400	0	460	0	0.881515	13.0995	0	59	53	41	47		
4	640	0	540	0	340	0	440	0	0.183039	30.2259	0	65	55	35	45		
4	540	0	520	0	440	0	460	0	0.421142	10.2205	0	55	53	45	47		
4	540	0	530	0	440	0	450	0	0.051955	10.6364	0	55	54	45	46		
4	560	0	540	0	420	0	440	0	0.0481726	18.2739	0	57	55	43	45		
4	580	0	560	0	400	0	420	0	0.0066517	51.6988	0	59	57	41	43		
4	640	0	580	0	340	0	400	0	0.0214771	45.8556	0	65	59	35	41		
4	510	0	500	0	470	0	480	0	3.11398	9.97983	0	52	51	48	49		
4	520	0	500	0	460	0	480	0	5.83477	10.5651	0	53	51	47	49		
4	700	0	640	0	280	0	340	0	0.000496026	178.352	0	71	65	29	35		
4	520	0	510	0	460	0	470	0	0.466787	10.2472	0	53	52	47	48		
4	530	0	520	0	450	0	460	0	0.167675	11.2338	0	54	53	46	47		
4	510	0	500	0	480	0	490	0	44.4987	10.7083	0	52	51	49	50		
4	520	0	510	0	470	0	480	0	1.08581	10.0296	0	53	52	48	49		
4	530	0	520	0	460	0	470	0	0.241747	9.51804	0	54	53	47	48		
4	540	0	530	0	450	0	460	0	0.142823	11.5325	0	55	54	46	47		
4	680	0	640	0	320	0	360	0	0.0020341	72.4022	0	69	65	33	37		
4	560	0	520	0	440	0	480	0	2.34085	10.0998	0	57	53	45	49		
4	560	0	540	0	440	0	460	0	0.160376	14.0844	0	57	55	45	47		
4	620	0	540	0	380	0	460	0	0.411981	21.723	0	63	55	39	47		
4	580	0	560	0	420	0	440	0	0.0234827	19.8867	0	59	57	43	45		
4	620	0	560	0	380	0	440	0	0.0647609	35.7901	0	63	57	39	45		
4	520	0	510	0	480	0	490	0	8.21803	11.4251	0	53	52	49	50		
4	640	0	600	0	360	0	400	0	0.0121446	-3.57505	0	65	61	37	41		
4	700	0	660	0	300	0	340	0	-0.000895762	5.08328	0	71	67	31	35		
4	580	0	540	0	420	0	460	0	0.302515	16.129	0	59	55	43	47		
4	660	0	580	0	340	0	420	0	0.0329682	68.0983	0	67	59	35	43		
4	600	0	580	0	400	0	420	0	0.00238854	208.095	0	61	59	41	43		
4	530	0	520	0	470	0	480	0	0.51111	8.81026	0	54	53	48	49		
4	540	0	520	0	460	0	480	0	1.32639	9.12997	0	55	53	47	49		
4	700	0	620	0	300	0	380	0	0.0139785	39.6918	0	71	63	31	39		
