Mixed array																
2.5																
11																
0																
"Type of measurement (0=app. resistivity,1=resistance)"																
1																
4067																
1																
1																
Chargeability																
msec																
"0.1,  1.0"	C1		C2		P1		P2				a	b	m	n		
4	55	0	82.5	0	15	0	17.5	0	-0.01395392	0	23	34	7	8		
4	55	0	82.5	0	17.5	0	20	0	-0.03114308	0	23	34	8	9		
4	55	0	82.5	0	22.5	0	25	0	-0.0516184	0	23	34	10	11		
4	55	0	82.5	0	30	0	32.5	0	-0.02375223	0	23	34	13	14		
4	55	0	82.5	0	32.5	0	35	0	-0.08848195	0	23	34	14	15		
4	55	0	82.5	0	37.5	0	40	0	-0.77639002	52.6216507	23	34	16	17		
4	55	0	82.5	0	60	0	62.5	0	0.01804751	0	23	34	25	26		
4	55	0	82.5	0	100	0	102.5	0	-0.03888765	0	23	34	41	42		
4	55	0	82.5	0	102.5	0	105	0	-0.0132391	0	23	34	42	43		
4	55	0	82.5	0	105	0	107.5	0	-0.053999	0	23	34	43	44		
4	55	0	82.5	0	110	0	112.5	0	-0.07438821	0	23	34	45	46		
4	55	0	82.5	0	115	0	117.5	0	-0.05279898	0	23	34	47	48		
4	55	0	82.5	0	120	0	122.5	0	-0.01994198	0	23	34	49	50		
4	55	0	82.5	0	125	0	127.5	0	-0.0106335	0	23	34	51	52		
4	55	0	82.5	0	130	0	132.5	0	-0.04185807	0	23	34	53	54		
4	55	0	82.5	0	135	0	137.5	0	-0.02369019	0	23	34	55	56		
4	55	0	82.5	0	147.5	0	150	0	-0.02478928	0	23	34	60	61		
4	55	0	82.5	0	150	0	152.5	0	-0.0206531	0	23	34	61	62		
4	77.5	0	105	0	2.5	0	5	0	-0.02434114	0	32	43	2	3		
4	77.5	0	105	0	10	0	12.5	0	-0.1049049	0	32	43	5	6		
4	77.5	0	105	0	15	0	17.5	0	-0.00513454	0	32	43	7	8		
4	77.5	0	105	0	17.5	0	20	0	-0.02716056	0	32	43	8	9		
4	77.5	0	105	0	22.5	0	25	0	-0.0457941	0	32	43	10	11		
4	77.5	0	105	0	30	0	32.5	0	-0.0027048	0	32	43	13	14		
4	77.5	0	105	0	32.5	0	35	0	-0.06532474	0	32	43	14	15		
4	77.5	0	105	0	65	0	67.5	0	-0.2823081	14.4264698	32	43	27	28		
4	77.5	0	105	0	80	0	82.5	0	1.66633403	30.57523918	32	43	33	34		
4	77.5	0	105	0	107.5	0	110	0	-1.01610506	42.29692841	32	43	44	45		
4	77.5	0	105	0	110	0	112.5	0	-0.46908951	35.5195694	32	43	45	46		
4	77.5	0	105	0	112.5	0	115	0	-0.16156299	54.59952164	32	43	46	47		
4	77.5	0	105	0	115	0	117.5	0	-0.15063231	43.95716858	32	43	47	48		
4	77.5	0	105	0	117.5	0	120	0	-0.0344977	0	32	43	48	49		
4	77.5	0	105	0	120	0	122.5	0	-0.05269469	0	32	43	49	50		
4	77.5	0	105	0	125	0	127.5	0	-0.03259204	0	32	43	51	52		
4	77.5	0	105	0	127.5	0	130	0	-0.01556199	0	32	43	52	53		
4	77.5	0	105	0	130	0	132.5	0	-0.06912564	0	32	43	53	54		
4	77.5	0	105	0	135	0	137.5	0	-0.04043243	0	32	43	55	56		
4	77.5	0	105	0	147.5	0	150	0	-0.03367146	0	32	43	60	61		
4	77.5	0	105	0	150	0	152.5	0	-0.02495795	0	32	43	61	62		
4	7.5	0	45	0	0	0	2.5	0	-0.16650639	0	4	19	1	2		
4	7.5	0	45	0	10	0	12.5	0	0.45039871	79.48642731	4	19	5	6		
4	7.5	0	45	0	12.5	0	15	0	0.34927481	32.62496948	4	19	6	7		
4	7.5	0	45	0	15	0	17.5	0	0.190717	0	4	19	7	8		
4	7.5	0	45	0	17.5	0	20	0	0.1037083	0	4	19	8	9		
4	7.5	0	45	0	20	0	22.5	0	0.1641359	0	4	19	9	10		
4	7.5	0	45	0	22.5	0	25	0	0.04445753	0	4	19	10	11		
4	7.5	0	45	0	25	0	27.5	0	0.1018102	0	4	19	11	12		
4	7.5	0	45	0	27.5	0	30	0	0.15768421	0	4	19	12	13		
4	7.5	0	45	0	30	0	32.5	0	0.12887029	0	4	19	13	14		
4	7.5	0	45	0	32.5	0	35	0	0.08226607	0	4	19	14	15		
4	7.5	0	45	0	35	0	37.5	0	0.2480498	32.70656967	4	19	15	16		
4	7.5	0	45	0	47.5	0	50	0	-0.46983179	51.93418884	4	19	20	21		
4	7.5	0	45	0	50	0	52.5	0	-0.07272608	0	4	19	21	22		
4	7.5	0	45	0	77.5	0	80	0	-0.208189	0	4	19	32	33		
4	7.5	0	45	0	80	0	82.5	0	-0.08416412	0	4	19	33	34		
4	7.5	0	45	0	105	0	107.5	0	-0.05754165	0	4	19	43	44		
4	7.5	0	45	0	110	0	112.5	0	-0.09394116	0	4	19	45	46		
4	7.5	0	45	0	115	0	117.5	0	-0.05568504	0	4	19	47	48		
4	7.5	0	45	0	120	0	122.5	0	-0.0475143	0	4	19	49	50		
4	7.5	0	45	0	125	0	127.5	0	-0.0503937	0	4	19	51	52		
4	7.5	0	45	0	127.5	0	130	0	-0.03355492	0	4	19	52	53		
4	7.5	0	45	0	135	0	137.5	0	-0.02501616	0	4	19	55	56		
4	30	0	67.5	0	0	0	2.5	0	-0.00825956	0	13	28	1	2		
4	30	0	67.5	0	2.5	0	5	0	-0.03316419	0	13	28	2	3		
4	30	0	67.5	0	5	0	7.5	0	-0.01680519	0	13	28	3	4		
4	30	0	67.5	0	7.5	0	10	0	-0.00493558	0	13	28	4	5		
4	30	0	67.5	0	10	0	12.5	0	-0.0854571	0	13	28	5	6		
4	30	0	67.5	0	12.5	0	15	0	-0.01852325	0	13	28	6	7		
4	30	0	67.5	0	15	0	17.5	0	-0.08670867	0	13	28	7	8		
4	30	0	67.5	0	17.5	0	20	0	-0.1363733	52.71601105	13	28	8	9		
4	30	0	67.5	0	20	0	22.5	0	-0.1518936	42.43479919	13	28	9	10		
4	30	0	67.5	0	22.5	0	25	0	-0.320685	32.92998886	13	28	10	11		
4	30	0	67.5	0	32.5	0	35	0	0.79935402	35.12419891	13	28	14	15		
4	30	0	67.5	0	35	0	37.5	0	0.4480494	29.26482964	13	28	15	16		
4	30	0	67.5	0	37.5	0	40	0	0.86877722	46.50363922	13	28	16	17		
4	30	0	67.5	0	40	0	42.5	0	0.1243777	36.77680969	13	28	17	18		
4	30	0	67.5	0	42.5	0	45	0	0.07676844	0	13	28	18	19		
4	30	0	67.5	0	72.5	0	75	0	-0.09262601	0	13	28	30	31		
4	30	0	67.5	0	80	0	82.5	0	-0.1400549	30.93674088	13	28	33	34		
4	30	0	67.5	0	100	0	102.5	0	-0.01272864	0	13	28	41	42		
4	30	0	67.5	0	105	0	107.5	0	-0.03667103	0	13	28	43	44		
4	30	0	67.5	0	110	0	112.5	0	-0.06076783	0	13	28	45	46		
4	30	0	67.5	0	115	0	117.5	0	-0.03724399	0	13	28	47	48		
4	30	0	67.5	0	120	0	122.5	0	-0.01850293	0	13	28	49	50		
4	30	0	67.5	0	125	0	127.5	0	-0.01360393	0	13	28	51	52		
4	30	0	67.5	0	127.5	0	130	0	-0.01040348	0	13	28	52	53		
4	30	0	67.5	0	130	0	132.5	0	-0.01957977	0	13	28	53	54		
4	30	0	67.5	0	135	0	137.5	0	-0.01421102	0	13	28	55	56		
4	30	0	67.5	0	147.5	0	150	0	-0.02332961	0	13	28	60	61		
4	30	0	67.5	0	150	0	152.5	0	-0.01585757	0	13	28	61	62		
4	32.5	0	70	0	0	0	2.5	0	-0.00525088	0	14	29	1	2		
4	32.5	0	70	0	2.5	0	5	0	-0.03342141	0	14	29	2	3		
4	32.5	0	70	0	5	0	7.5	0	-0.01168364	0	14	29	3	4		
4	32.5	0	70	0	7.5	0	10	0	-0.1117149	0	14	29	4	5		
4	32.5	0	70	0	15	0	17.5	0	-0.06424997	0	14	29	7	8		
4	32.5	0	70	0	17.5	0	20	0	-0.08889882	0	14	29	8	9		
4	32.5	0	70	0	20	0	22.5	0	-0.08354442	0	14	29	9	10		
4	32.5	0	70	0	22.5	0	25	0	-0.1937592	29.62718964	14	29	10	11		
4	32.5	0	70	0	25	0	27.5	0	-0.2315516	40.76459122	14	29	11	12		
4	32.5	0	70	0	35	0	37.5	0	0.96577489	30.47538948	14	29	15	16		
4	32.5	0	70	0	37.5	0	40	0	1.12092602	44.85435867	14	29	16	17		
4	32.5	0	70	0	40	0	42.5	0	0.09581852	0	14	29	17	18		
4	32.5	0	70	0	42.5	0	45	0	0.3695794	39.62210846	14	29	18	19		
4	32.5	0	70	0	80	0	82.5	0	-0.1839333	32.93122101	14	29	33	34		
4	32.5	0	70	0	100	0	102.5	0	-0.01454968	0	14	29	41	42		
4	32.5	0	70	0	105	0	107.5	0	-0.04297422	0	14	29	43	44		
4	32.5	0	70	0	110	0	112.5	0	-0.0701124	0	14	29	45	46		
4	32.5	0	70	0	115	0	117.5	0	-0.04400656	0	14	29	47	48		
4	32.5	0	70	0	120	0	122.5	0	-0.02267138	0	14	29	49	50		
4	32.5	0	70	0	125	0	127.5	0	-0.01661629	0	14	29	51	52		
4	32.5	0	70	0	127.5	0	130	0	-0.1260758	245.7194977	14	29	52	53		
4	32.5	0	70	0	135	0	137.5	0	-0.01507687	0	14	29	55	56		
4	32.5	0	70	0	147.5	0	150	0	-0.02583073	0	14	29	60	61		
4	32.5	0	70	0	150	0	152.5	0	-0.01826114	0	14	29	61	62		
4	40	0	77.5	0	2.5	0	5	0	-0.04011363	0	17	32	2	3		
4	40	0	77.5	0	7.5	0	10	0	-0.0987869	0	17	32	4	5		
4	40	0	77.5	0	15	0	17.5	0	-0.03452715	0	17	32	7	8		
4	40	0	77.5	0	17.5	0	20	0	-0.05427201	0	17	32	8	9		
4	40	0	77.5	0	22.5	0	25	0	-0.1075519	0	17	32	10	11		
4	40	0	77.5	0	25	0	27.5	0	-0.03626119	0	17	32	11	12		
4	40	0	77.5	0	27.5	0	30	0	-0.04514593	0	17	32	12	13		
4	40	0	77.5	0	30	0	32.5	0	-0.148259	0	17	32	13	14		
4	40	0	77.5	0	32.5	0	35	0	-0.39455411	40.27873993	17	32	14	15		
4	40	0	77.5	0	80	0	82.5	0	-1.77469802	56.67465973	17	32	33	34		
4	40	0	77.5	0	100	0	102.5	0	-0.02352222	0	17	32	41	42		
4	40	0	77.5	0	105	0	107.5	0	-0.0660653	0	17	32	43	44		
4	40	0	77.5	0	110	0	112.5	0	-0.1121551	0	17	32	45	46		
4	40	0	77.5	0	115	0	117.5	0	-0.06941004	0	17	32	47	48		
4	40	0	77.5	0	120	0	122.5	0	-0.03323108	0	17	32	49	50		
4	40	0	77.5	0	125	0	127.5	0	-0.02312357	0	17	32	51	52		
4	40	0	77.5	0	127.5	0	130	0	-0.1439704	0	17	32	52	53		
4	40	0	77.5	0	135	0	137.5	0	-0.02135556	0	17	32	55	56		
4	40	0	77.5	0	147.5	0	150	0	-0.03629873	0	17	32	60	61		
4	40	0	77.5	0	150	0	152.5	0	-0.0302403	0	17	32	61	62		
4	45	0	82.5	0	0	0	2.5	0	-0.01458787	0	19	34	1	2		
4	45	0	82.5	0	5	0	7.5	0	-0.01397483	0	19	34	3	4		
4	45	0	82.5	0	7.5	0	10	0	-0.04459334	0	19	34	4	5		
4	45	0	82.5	0	12.5	0	15	0	-0.05551596	0	19	34	6	7		
4	45	0	82.5	0	15	0	17.5	0	-0.02022837	0	19	34	7	8		
4	45	0	82.5	0	17.5	0	20	0	-0.00470334	0	19	34	8	9		
4	45	0	82.5	0	20	0	22.5	0	-0.05337496	0	19	34	9	10		
4	45	0	82.5	0	25	0	27.5	0	-0.04088456	0	19	34	11	12		
4	45	0	82.5	0	27.5	0	30	0	-0.07899842	0	19	34	12	13		
4	45	0	82.5	0	30	0	32.5	0	-0.06838695	0	19	34	13	14		
4	45	0	82.5	0	32.5	0	35	0	-0.07225501	0	19	34	14	15		
4	45	0	82.5	0	35	0	37.5	0	-0.2162427	18.49328041	19	34	15	16		
4	45	0	82.5	0	47.5	0	50	0	0.59190649	32.04285049	19	34	20	21		
4	45	0	82.5	0	52.5	0	55	0	0.0522526	0	19	34	22	23		
4	45	0	82.5	0	100	0	102.5	0	-0.04966617	0	19	34	41	42		
4	45	0	82.5	0	102.5	0	105	0	-0.0681184	0	19	34	42	43		
4	45	0	82.5	0	105	0	107.5	0	-0.01855872	0	19	34	43	44		
4	45	0	82.5	0	107.5	0	110	0	-0.06679787	0	19	34	44	45		
4	45	0	82.5	0	112.5	0	115	0	-0.05793847	0	19	34	46	47		
4	45	0	82.5	0	117.5	0	120	0	-0.02104328	0	19	34	48	49		
4	45	0	82.5	0	120	0	122.5	0	-0.00234658	0	19	34	49	50		
4	45	0	82.5	0	122.5	0	125	0	-0.03591174	0	19	34	50	51		
4	45	0	82.5	0	125	0	127.5	0	-0.01491106	0	19	34	51	52		
4	45	0	82.5	0	132.5	0	135	0	-0.01853464	0	19	34	54	55		
4	45	0	82.5	0	135	0	137.5	0	-0.00224101	0	19	34	55	56		
4	65	0	102.5	0	0	0	2.5	0	-0.00791529	0	27	42	1	2		
4	65	0	102.5	0	2.5	0	5	0	-0.02642478	0	27	42	2	3		
4	65	0	102.5	0	10	0	12.5	0	-0.07794772	0	27	42	5	6		
4	65	0	102.5	0	15	0	17.5	0	-0.00271862	0	27	42	7	8		
4	65	0	102.5	0	17.5	0	20	0	-0.03185267	0	27	42	8	9		
4	65	0	102.5	0	22.5	0	25	0	-0.05625951	0	27	42	10	11		
4	65	0	102.5	0	30	0	32.5	0	-0.00544191	0	27	42	13	14		
4	65	0	102.5	0	32.5	0	35	0	-0.08735311	0	27	42	14	15		
4	65	0	102.5	0	37.5	0	40	0	-0.48779571	6.56841612	27	42	16	17		
4	65	0	102.5	0	40	0	42.5	0	-0.26238859	99	27	42	17	18		
4	65	0	102.5	0	57.5	0	60	0	-0.79668808	96.72559357	27	42	24	25		
4	65	0	102.5	0	67.5	0	70	0	0.33840719	41.35486984	27	42	28	29		
4	65	0	102.5	0	72.5	0	75	0	0.1265185	0	27	42	30	31		
4	65	0	102.5	0	80	0	82.5	0	0.05795981	0	27	42	33	34		
4	65	0	102.5	0	105	0	107.5	0	-1.04815805	41.49094009	27	42	43	44		
4	65	0	102.5	0	107.5	0	110	0	-0.31759131	41.02323914	27	42	44	45		
4	65	0	102.5	0	110	0	112.5	0	-0.29151341	29.59620094	27	42	45	46		
4	65	0	102.5	0	112.5	0	115	0	-0.06139195	0	27	42	46	47		
4	65	0	102.5	0	115	0	117.5	0	-0.1185635	0	27	42	47	48		
4	65	0	102.5	0	117.5	0	120	0	-0.00803207	0	27	42	48	49		
4	65	0	102.5	0	120	0	122.5	0	-0.04887323	0	27	42	49	50		
4	65	0	102.5	0	125	0	127.5	0	-0.03293405	0	27	42	51	52		
4	65	0	102.5	0	127.5	0	130	0	-0.04976425	0	27	42	52	53		
4	65	0	102.5	0	130	0	132.5	0	-0.02561199	0	27	42	53	54		
4	65	0	102.5	0	132.5	0	135	0	-0.00410946	0	27	42	54	55		
4	65	0	102.5	0	135	0	137.5	0	-0.02787518	0	27	42	55	56		
4	65	0	102.5	0	147.5	0	150	0	-0.03785745	0	27	42	60	61		
4	65	0	102.5	0	150	0	152.5	0	-0.02960818	0	27	42	61	62		
4	77.5	0	115	0	0	0	2.5	0	-0.00998801	0	32	47	1	2		
4	77.5	0	115	0	5	0	7.5	0	-0.0085039	0	32	47	3	4		
4	77.5	0	115	0	7.5	0	10	0	-0.04752387	0	32	47	4	5		
4	77.5	0	115	0	12.5	0	15	0	-0.03738996	0	32	47	6	7		
4	77.5	0	115	0	20	0	22.5	0	-0.02912778	0	32	47	9	10		
4	77.5	0	115	0	25	0	27.5	0	-0.01463303	0	32	47	11	12		
4	77.5	0	115	0	27.5	0	30	0	-0.03338844	0	32	47	12	13		
4	77.5	0	115	0	30	0	32.5	0	-0.00337978	0	32	47	13	14		
4	77.5	0	115	0	35	0	37.5	0	-0.04994003	0	32	47	15	16		
4	77.5	0	115	0	100	0	102.5	0	0.1012498	0	32	47	41	42		
4	77.5	0	115	0	102.5	0	105	0	0.1355246	0	32	47	42	43		
4	77.5	0	115	0	105	0	107.5	0	0.23380619	30.99893951	32	47	43	44		
4	77.5	0	115	0	107.5	0	110	0	0.3119137	33.54571152	32	47	44	45		
4	77.5	0	115	0	117.5	0	120	0	-0.92604262	29.77660942	32	47	48	49		
4	77.5	0	115	0	120	0	122.5	0	-0.26942241	30.27522087	32	47	49	50		
4	77.5	0	115	0	122.5	0	125	0	-0.1704483	28.91720963	32	47	50	51		
4	77.5	0	115	0	125	0	127.5	0	-0.1202437	0	32	47	51	52		
4	77.5	0	115	0	127.5	0	130	0	-0.1133927	0	32	47	52	53		
4	77.5	0	115	0	130	0	132.5	0	-0.04912775	0	32	47	53	54		
4	77.5	0	115	0	132.5	0	135	0	-0.06208286	0	32	47	54	55		
4	77.5	0	115	0	135	0	137.5	0	-0.04613559	0	32	47	55	56		
4	110	0	147.5	0	15	0	17.5	0	-0.00286418	0	45	60	7	8		
4	110	0	147.5	0	17.5	0	20	0	-0.01496813	0	45	60	8	9		
4	110	0	147.5	0	22.5	0	25	0	-0.0307211	0	45	60	10	11		
4	110	0	147.5	0	32.5	0	35	0	-0.04298832	0	45	60	14	15		
4	110	0	147.5	0	37.5	0	40	0	-0.07301741	0	45	60	16	17		
4	110	0	147.5	0	42.5	0	45	0	-0.02417642	0	45	60	18	19		
4	110	0	147.5	0	45	0	47.5	0	-0.1210015	29.85329056	45	60	19	20		
4	110	0	147.5	0	50	0	52.5	0	-0.05230352	0	45	60	21	22		
4	110	0	147.5	0	52.5	0	55	0	-0.05307261	0	45	60	22	23		
4	110	0	147.5	0	57.5	0	60	0	-0.09454846	0	45	60	24	25		
4	110	0	147.5	0	65	0	67.5	0	-0.0619121	0	45	60	27	28		
4	110	0	147.5	0	70	0	72.5	0	-0.01456536	0	45	60	29	30		
4	110	0	147.5	0	75	0	77.5	0	-0.01731765	0	45	60	31	32		
4	110	0	147.5	0	77.5	0	80	0	-0.00529077	0	45	60	32	33		
4	110	0	147.5	0	80	0	82.5	0	-0.05423618	0	45	60	33	34		
4	110	0	147.5	0	102.5	0	105	0	-0.40863401	39.28736115	45	60	42	43		
4	110	0	147.5	0	105	0	107.5	0	-1.252159	32.50299835	45	60	43	44		
4	110	0	147.5	0	112.5	0	115	0	1.37944496	32.94009018	45	60	46	47		
4	110	0	147.5	0	115	0	117.5	0	0.3487308	37.97851181	45	60	47	48		
4	110	0	147.5	0	117.5	0	120	0	0.1792115	56.06801987	45	60	48	49		
4	110	0	147.5	0	120	0	122.5	0	0.1392854	32.84888077	45	60	49	50		
4	110	0	147.5	0	122.5	0	125	0	0.1231736	35.21520996	45	60	50	51		
4	110	0	147.5	0	125	0	127.5	0	0.09824719	0	45	60	51	52		
4	110	0	147.5	0	127.5	0	130	0	0.0551851	0	45	60	52	53		
4	110	0	147.5	0	130	0	132.5	0	0.2186818	77.88143921	45	60	53	54		
4	110	0	147.5	0	132.5	0	135	0	0.26597711	33.12977982	45	60	54	55		
4	25	0	67.5	0	12.5	0	15	0	-0.08747049	0	11	28	6	7		
4	25	0	67.5	0	15	0	17.5	0	-0.1919827	84.21484375	11	28	7	8		
4	25	0	67.5	0	17.5	0	20	0	-0.29294661	82.65711212	11	28	8	9		
4	25	0	67.5	0	27.5	0	30	0	0.79612571	62.80886078	11	28	12	13		
4	25	0	67.5	0	30	0	32.5	0	0.3503215	70.26017761	11	28	13	14		
4	25	0	67.5	0	32.5	0	35	0	0.1788642	87.84211731	11	28	14	15		
4	60	0	102.5	0	2.5	0	5	0	-0.02415428	0	25	42	2	3		
4	60	0	102.5	0	10	0	12.5	0	-0.08087385	0	25	42	5	6		
4	60	0	102.5	0	15	0	17.5	0	-0.01149821	0	25	42	7	8		
4	60	0	102.5	0	17.5	0	20	0	-0.02925623	0	25	42	8	9		
4	60	0	102.5	0	22.5	0	25	0	-0.04549935	0	25	42	10	11		
4	60	0	102.5	0	30	0	32.5	0	-0.01348875	0	25	42	13	14		
4	60	0	102.5	0	32.5	0	35	0	-0.07826995	0	25	42	14	15		
4	60	0	102.5	0	80	0	82.5	0	0.04339787	0	25	42	33	34		
4	60	0	102.5	0	107.5	0	110	0	-0.3450394	85.80029297	25	42	44	45		
4	60	0	102.5	0	110	0	112.5	0	-0.24559011	68.31302643	25	42	45	46		
4	60	0	102.5	0	112.5	0	115	0	-0.08438312	0	25	42	46	47		
4	60	0	102.5	0	115	0	117.5	0	-0.1129049	0	25	42	47	48		
4	60	0	102.5	0	117.5	0	120	0	-0.01893373	0	25	42	48	49		
4	60	0	102.5	0	120	0	122.5	0	-0.04387351	0	25	42	49	50		
4	60	0	102.5	0	125	0	127.5	0	-0.02889153	0	25	42	51	52		
4	60	0	102.5	0	127.5	0	130	0	-0.02446414	0	25	42	52	53		
4	60	0	102.5	0	130	0	132.5	0	-0.0475154	0	25	42	53	54		
4	60	0	102.5	0	132.5	0	135	0	-0.00676095	0	25	42	54	55		
4	60	0	102.5	0	135	0	137.5	0	-0.03632578	0	25	42	55	56		
4	60	0	102.5	0	147.5	0	150	0	-0.03133731	0	25	42	60	61		
4	60	0	102.5	0	150	0	152.5	0	-0.02266615	0	25	42	61	62		
4	62.5	0	105	0	0	0	2.5	0	-0.01300693	0	26	43	1	2		
4	62.5	0	105	0	5	0	7.5	0	-0.01639607	0	26	43	3	4		
4	62.5	0	105	0	7.5	0	10	0	-0.01951699	0	26	43	4	5		
4	62.5	0	105	0	12.5	0	15	0	-0.06296905	0	26	43	6	7		
4	62.5	0	105	0	15	0	17.5	0	-0.00539537	0	26	43	7	8		
4	62.5	0	105	0	17.5	0	20	0	-0.02834217	0	26	43	8	9		
4	62.5	0	105	0	20	0	22.5	0	-0.04786026	0	26	43	9	10		
4	62.5	0	105	0	27.5	0	30	0	-0.05407131	0	26	43	12	13		
4	62.5	0	105	0	30	0	32.5	0	-0.01627625	0	26	43	13	14		
4	62.5	0	105	0	35	0	37.5	0	-0.0960756	0	26	43	15	16		
4	62.5	0	105	0	37.5	0	40	0	-0.53342807	30.01656914	26	43	16	17		
4	62.5	0	105	0	65	0	67.5	0	0.4335489	21.22164917	26	43	27	28		
4	62.5	0	105	0	67.5	0	70	0	0.03233594	0	26	43	28	29		
4	62.5	0	105	0	70	0	72.5	0	0.1000452	0	26	43	29	30		
4	62.5	0	105	0	77.5	0	80	0	0.86775398	9.46945	26	43	32	33		
4	62.5	0	105	0	80	0	82.5	0	0.150104	14.20059013	26	43	33	34		
4	62.5	0	105	0	107.5	0	110	0	-1.11482704	19.47879982	26	43	44	45		
4	62.5	0	105	0	110	0	112.5	0	-0.3237859	27.09358025	26	43	45	46		
4	62.5	0	105	0	112.5	0	115	0	-0.28441551	16.19524956	26	43	46	47		
4	62.5	0	105	0	115	0	117.5	0	-0.07085434	0	26	43	47	48		
4	62.5	0	105	0	117.5	0	120	0	-0.07254726	0	26	43	48	49		
4	62.5	0	105	0	120	0	122.5	0	-0.02979545	0	26	43	49	50		
4	62.5	0	105	0	122.5	0	125	0	-0.07392359	0	26	43	50	51		
4	62.5	0	105	0	125	0	127.5	0	-0.02897537	0	26	43	51	52		
4	62.5	0	105	0	130	0	132.5	0	-0.07351465	0	26	43	53	54		
4	62.5	0	105	0	132.5	0	135	0	-0.0361582	0	26	43	54	55		
4	62.5	0	105	0	135	0	137.5	0	-0.01958624	0	26	43	55	56		
4	65	0	107.5	0	2.5	0	5	0	-0.02280871	0	27	44	2	3		
4	65	0	107.5	0	10	0	12.5	0	-0.09490416	0	27	44	5	6		
4	65	0	107.5	0	15	0	17.5	0	-0.01190354	0	27	44	7	8		
4	65	0	107.5	0	17.5	0	20	0	-0.02842167	0	27	44	8	9		
4	65	0	107.5	0	22.5	0	25	0	-0.04554063	0	27	44	10	11		
4	65	0	107.5	0	30	0	32.5	0	-0.009341	0	27	44	13	14		
4	65	0	107.5	0	32.5	0	35	0	-0.07334228	0	27	44	14	15		
4	65	0	107.5	0	37.5	0	40	0	-0.3492389	17.47879982	27	44	16	17		
4	65	0	107.5	0	67.5	0	70	0	0.2803441	48.69327927	27	44	28	29		
4	65	0	107.5	0	72.5	0	75	0	0.2212612	58.19861984	27	44	30	31		
4	65	0	107.5	0	80	0	82.5	0	0.07349361	0	27	44	33	34		
4	65	0	107.5	0	100	0	102.5	0	0.3768633	64.99157715	27	44	41	42		
4	65	0	107.5	0	110	0	112.5	0	-1.27903295	68.49918365	27	44	45	46		
4	65	0	107.5	0	112.5	0	115	0	-0.41390201	70.21042633	27	44	46	47		
4	65	0	107.5	0	115	0	117.5	0	-0.22896349	57.23699951	27	44	47	48		
4	65	0	107.5	0	117.5	0	120	0	-0.07140428	0	27	44	48	49		
4	65	0	107.5	0	120	0	122.5	0	-0.07510296	0	27	44	49	50		
